nfd-1-cps,nfd-3-pwr,nfd-4-flux,cont air counts,ram-con-lvl,ram-pool-lvl,ram-wtr-lvl,,,,,,,,,,,,,,,,,,,
18740000,49.6164,45.7212,350.0344013,0.1461781,4.447152489,0.073155837,35,,,,,,,,,,,,,,,,,,
18750000,49.5989,45.7124,349.9984848,0.148164796,4.52739997,0.072965068,36,,,,,,,,,,,,,,,,,,
18750000,49.5838,45.7117,349.9446442,0.151053484,4.604758311,0.071156833,37,,,,,,,,,,,,,,,,,,
18740000,49.5779,45.7082,349.888797,0.152981267,4.642753394,0.068085068,38,,,,,,,,,,,,,,,,,,
18690000,49.5679,45.7052,349.8634014,0.155831765,4.686072006,0.06402181,39,,,,,,,,,,,,,,,,,,
18690000,49.5638,45.7,349.8490853,0.155801357,4.763659759,0.061726968,40,,,,,,,,,,,,,,,,,,
18680000,49.5642,45.6958,349.8146019,0.154880633,4.827608235,0.059890498,41,,,,,,,,,,,,,,,,,,
18690000,49.5625,45.6976,349.8241077,0.151267692,4.893420784,0.058808054,42,,,,,,,,,,,,,,,,,,
18710000,49.5533,45.7026,349.8817756,0.143583167,4.969644736,0.057265068,43,,,,,,,,,,,,,,,,,,
18690000,49.5237,45.6939,349.946933,0.130545882,4.983330317,0.056360181,44,,,,,,,,,,,,,,,,,,
18670000,49.5017,45.6528,349.998509,0.122945882,4.98756178,0.055594208,45,,,,,,,,,,,,,,,,,,
18670000,49.5041,45.6182,350.0186472,0.113157104,5.017574057,0.055244796,46,,,,,,,,,,,,,,,,,,
18650000,49.4801,45.6134,350.0505736,0.106511403,5.114837557,0.055809593,47,,,,,,,,,,,,,,,,,,
18650000,49.4713,45.6154,350.0398684,0.100526968,5.156810106,0.056316742,48,,,,,,,,,,,,,,,,,,
18660000,49.4496,45.6118,349.9762407,0.097230679,5.218564012,0.057238643,49,,,,,,,,,,,,,,,,,,
18660000,49.4298,45.6109,349.9237516,0.091747783,5.272302624,0.057389321,50,,,,,,,,,,,,,,,,,,
18630000,49.4274,45.6068,349.8888899,0.088155475,5.305801599,0.057359729,51,,,,,,,,,,,,,,,,,,
18640000,49.3791,45.6077,349.8488682,0.084926154,5.39273632,0.057583439,52,,,,,,,,,,,,,,,,,,
18640000,49.4016,45.6019,349.7942017,0.081400362,5.438493846,0.058963439,53,,,,,,,,,,,,,,,,,,
18610000,49.3788,45.5927,349.7544182,0.079219005,5.504144585,0.05998009,54,,,,,,,,,,,,,,,,,,
18620000,49.3662,45.5784,349.7127159,0.077604525,5.557709532,0.060500181,55,,,,,,,,,,,,,,,,,,
18590000,49.3512,45.5297,349.7070897,0.074784706,5.646420633,0.061674027,56,,,,,,,,,,,,,,,,,,
18640000,49.3535,45.5117,349.7321014,0.066433665,5.695453454,0.062967783,57,,,,,,,,,,,,,,,,,,
18630000,49.3324,45.504,349.7597562,0.061585973,5.727110075,0.064124615,58,,,,,,,,,,,,,,,,,,
18630000,49.3198,45.5163,349.8297822,0.059727421,5.81785991,0.06235819,59,,,,,,,,,,,,,,,,,,
18590000,49.3397,45.6041,349.9024392,0.061987692,5.873175354,0.062892127,60,,,,,,,,,,,,,,,,,,
18580000,49.3879,45.6032,349.983285,0.067909683,5.891627541,0.063354661,61,,,,,,,,,,,,,,,,,,
18580000,49.3937,45.6038,350.022934,0.072928416,5.883081176,0.063172851,62,,,,,,,,,,,,,,,,,,
18580000,49.4003,45.6057,350.0885014,0.080118824,5.929624766,0.063206606,63,,,,,,,,,,,,,,,,,,
18590000,49.3808,45.6106,350.1273141,0.084224977,5.925626094,0.063590226,64,,,,,,,,,,,,,,,,,,
18600000,49.4057,45.6108,350.1581437,0.090120995,6.017592579,0.06510181,65,,,,,,,,,,,,,,,,,,
18580000,49.4012,45.6063,350.1768326,0.095052398,6.109690649,0.066265611,66,,,,,,,,,,,,,,,,,,
